"System Throughput(Wavelength), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 4:43:18 PM",
,
,
,
Wavelength,System Throughput
6965.64,0.00107143
6998.65,0.00428571
7011.85,0.0128571
7029.45,0.0252551
7044.85,0.0526531
7058.06,0.0944388
7075.66,0.141888
7088.86,0.177245
7106.47,0.193929
7119.67,0.199133
7137.27,0.199286
7168.08,0.19699
7198.88,0.192857
7229.69,0.188418
7275.9,0.184286
7306.7,0.184133
7319.91,0.185357
7352.91,0.186122
7383.72,0.185357
7429.93,0.180918
7476.13,0.174337
7504.74,0.171276
7537.75,0.169286
7566.35,0.16898
7583.95,0.170357
7614.76,0.170357
7645.57,0.168673
7751.19,0.155051
7806.19,0.150612
7845.8,0.149541
7876.61,0.148776
7922.82,0.146633
8013.03,0.141122
8046.04,0.139133
8107.65,0.134847
8138.46,0.13148
8213.27,0.121837
8259.48,0.117704
8290.28,0.116633
8310.09,0.115561
8398.1,0.115408
8431.11,0.114337
8477.32,0.111735
8521.33,0.106837
8582.94,0.103776
8615.94,0.102398
8664.35,0.102551
8736.97,0.103776
8754.57,0.103622
8798.58,0.102857
8831.58,0.101633
8893.2,0.0996429
8983.41,0.0962755
9080.23,0.0909184
9236.46,0.0806633
9245.26,0.0791327
9291.47,0.0748469
9430.09,0.0641327
9493.91,0.0578571
9537.92,0.0552551
9568.72,0.0506633
9584.12,0.0446939
9601.73,0.0361224
9614.93,0.0266327
9632.53,0.0171429
9647.93,0.0104082
9661.14,0.00627551
9676.54,0.00397959
9709.55,0.000918367
